Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.296,112,13,51,50,0.823,"2022,09,01 21,45,04"
Vladimir Guerrero Jr.,0.285,143,27,80,48,0.855,"2022,09,01 21,45,04"
Santiago Espinal,0.265,107,7,44,31,0.69,"2022,09,01 21,45,04"
Bo Bichette,0.26,135,17,66,33,0.725,"2022,09,01 21,45,04"
Matt Chapman,0.237,102,24,64,47,0.781,"2022,09,01 21,45,04"
Lourdes Gurriel Jr.,0.29,127,5,51,29,0.738,"2022,09,01 21,45,04"
George Springer,0.266,104,19,57,42,0.814,"2022,09,01 21,45,04"
Teoscar Hernandez,0.264,102,19,62,28,0.795,"2022,09,01 21,45,04"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,01 21,45,04"
Raimel Tapia,0.262,83,5,38,11,0.655,"2022,09,01 21,45,04"
Cavan Biggio,0.216,42,4,20,30,0.705,"2022,09,01 21,45,04"
Danny Jansen,0.219,30,11,30,13,0.767,"2022,09,01 21,45,04"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,01 21,45,04"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,01 21,45,04"
Whit Merrifield,0.208,11,1,2,5,0.54,"2022,09,01 21,45,04"
Jackie Bradley Jr.,0.148,4,0,4,3,0.456,"2022,09,01 21,45,04"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,01 21,45,04"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,01 21,45,04"
Vinny Capra,0.2,1,0,0,2,0.629,"2022,09,01 21,45,04"
