Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.292,132,14,62,61,0.805,"2022,09,27"
Vladimir Guerrero Jr.,0.276,169,30,91,55,0.819,"2022,09,27"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,09,27"
Bo Bichette,0.284,178,24,91,40,0.798,"2022,09,27"
Matt Chapman,0.235,121,27,75,64,0.776,"2022,09,27"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,27"
George Springer,0.261,128,23,71,53,0.802,"2022,09,27"
Teoscar Hernandez,0.261,123,22,72,33,0.788,"2022,09,27"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,27"
Raimel Tapia,0.262,100,6,50,14,0.666,"2022,09,27"
Cavan Biggio,0.202,49,6,24,37,0.676,"2022,09,27"
Danny Jansen,0.253,49,13,37,23,0.825,"2022,09,27"
Whit Merrifield,0.213,20,4,11,7,0.64,"2022,09,27"
Bradley Zimmer,0.103,8,2,3,5,0.444,"2022,09,27"
Jackie Bradley Jr.,0.177,11,1,9,5,0.529,"2022,09,27"
Gabriel Moreno,0.279,17,0,4,3,0.608,"2022,09,27"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,27"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,27"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,27"
