Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.298,123,13,57,55,0.821,"2022,09,12"
Vladimir Guerrero Jr.,0.277,152,27,82,51,0.826,"2022,09,12"
Santiago Espinal,0.265,114,7,49,35,0.693,"2022,09,12"
Bo Bichette,0.279,157,23,84,36,0.795,"2022,09,12"
Matt Chapman,0.236,110,24,66,55,0.773,"2022,09,12"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,12"
George Springer,0.262,113,19,58,48,0.794,"2022,09,12"
Teoscar Hernandez,0.266,111,20,65,30,0.798,"2022,09,12"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,12"
Raimel Tapia,0.262,88,6,42,13,0.661,"2022,09,12"
Cavan Biggio,0.221,47,6,23,35,0.739,"2022,09,12"
Danny Jansen,0.244,38,12,33,15,0.802,"2022,09,12"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,12"
Whit Merrifield,0.182,12,1,3,5,0.467,"2022,09,12"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,12"
Jackie Bradley Jr.,0.17,8,0,6,4,0.491,"2022,09,12"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,12"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,12"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,12"
