Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.293,112,13,51,52,0.82,"2022,09,03"
Vladimir Guerrero Jr.,0.285,144,27,80,48,0.854,"2022,09,03"
Santiago Espinal,0.268,109,7,46,32,0.699,"2022,09,03"
Bo Bichette,0.263,138,18,68,33,0.737,"2022,09,03"
Matt Chapman,0.238,103,24,64,50,0.788,"2022,09,03"
Lourdes Gurriel Jr.,0.29,127,5,51,29,0.738,"2022,09,03"
George Springer,0.263,104,19,57,42,0.804,"2022,09,03"
Teoscar Hernandez,0.263,103,19,62,28,0.79,"2022,09,03"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,03"
Raimel Tapia,0.262,83,5,38,11,0.655,"2022,09,03"
Cavan Biggio,0.218,43,4,20,31,0.708,"2022,09,03"
Danny Jansen,0.219,30,11,30,13,0.767,"2022,09,03"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,03"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,03"
Whit Merrifield,0.208,11,1,2,5,0.54,"2022,09,03"
Jackie Bradley Jr.,0.129,4,0,4,3,0.399,"2022,09,03"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,03"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,03"
Vinny Capra,0.2,1,0,0,2,0.629,"2022,09,03"
