Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.292,114,13,53,53,0.813,"2022,09,06"
Vladimir Guerrero Jr.,0.279,146,27,81,50,0.835,"2022,09,06"
Santiago Espinal,0.264,109,7,46,33,0.692,"2022,09,06"
Bo Bichette,0.272,147,21,78,34,0.766,"2022,09,06"
Matt Chapman,0.233,105,24,64,51,0.77,"2022,09,06"
Lourdes Gurriel Jr.,0.292,131,5,51,30,0.744,"2022,09,06"
George Springer,0.267,109,19,58,44,0.806,"2022,09,06"
Teoscar Hernandez,0.267,109,20,64,29,0.8,"2022,09,06"
Zack Collins (DFA),0.194,14,4,10,6,0.682,"2022,09,06"
Raimel Tapia,0.258,84,5,39,11,0.645,"2022,09,06"
Cavan Biggio,0.223,46,6,23,32,0.74,"2022,09,06"
Danny Jansen,0.218,32,11,30,15,0.752,"2022,09,06"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,06"
Whit Merrifield,0.211,12,1,3,5,0.537,"2022,09,06"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,06"
Jackie Bradley Jr.,0.194,7,0,6,4,0.581,"2022,09,06"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,06"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,06"
Vinny Capra,0.2,1,0,0,2,0.629,"2022,09,06"
