Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.295,125,13,59,56,0.811,"2022,09,16"
Vladimir Guerrero Jr.,0.278,158,28,84,51,0.825,"2022,09,16"
Santiago Espinal,0.269,118,7,50,36,0.699,"2022,09,16"
Bo Bichette,0.285,166,24,88,36,0.809,"2022,09,16"
Matt Chapman,0.234,113,24,68,56,0.762,"2022,09,16"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,16"
George Springer,0.258,116,20,60,50,0.786,"2022,09,16"
Teoscar Hernandez,0.259,112,20,66,30,0.778,"2022,09,16"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,16"
Raimel Tapia,0.261,91,6,43,13,0.653,"2022,09,16"
Cavan Biggio,0.21,47,6,23,36,0.708,"2022,09,16"
Danny Jansen,0.247,41,12,33,17,0.809,"2022,09,16"
Bradley Zimmer,0.104,8,2,3,5,0.441,"2022,09,16"
Whit Merrifield,0.2,14,1,5,6,0.52,"2022,09,16"
Gabriel Moreno,0.279,17,0,4,2,0.597,"2022,09,16"
Jackie Bradley Jr.,0.182,10,0,6,4,0.492,"2022,09,16"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,16"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,16"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,16"
