Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.3,121,13,55,54,0.825,"2022,09,10"
Vladimir Guerrero Jr.,0.277,149,27,82,50,0.827,"2022,09,10"
Santiago Espinal,0.263,111,7,46,34,0.689,"2022,09,10"
Bo Bichette,0.276,153,23,83,35,0.787,"2022,09,10"
Matt Chapman,0.237,109,24,66,53,0.777,"2022,09,10"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,10"
George Springer,0.264,112,19,58,44,0.794,"2022,09,10"
Teoscar Hernandez,0.263,109,20,64,29,0.79,"2022,09,10"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,10"
Raimel Tapia,0.263,87,5,39,13,0.655,"2022,09,10"
Cavan Biggio,0.221,46,6,23,33,0.736,"2022,09,10"
Danny Jansen,0.225,34,11,31,15,0.758,"2022,09,10"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,10"
Whit Merrifield,0.188,12,1,3,5,0.481,"2022,09,10"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,10"
Jackie Bradley Jr.,0.186,8,0,6,4,0.534,"2022,09,10"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,10"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,10"
Vinny Capra,0.2,1,0,0,2,0.629,"2022,09,10"
