Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.294,131,13,61,59,0.804,"2022,09,25"
Vladimir Guerrero Jr.,0.276,166,30,89,55,0.823,"2022,09,25"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,09,25"
Bo Bichette,0.284,175,24,91,40,0.801,"2022,09,25"
Matt Chapman,0.236,120,27,75,62,0.778,"2022,09,25"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,25"
George Springer,0.26,125,21,68,52,0.791,"2022,09,25"
Teoscar Hernandez,0.259,120,21,68,33,0.78,"2022,09,25"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,25"
Raimel Tapia,0.263,98,6,50,14,0.664,"2022,09,25"
Cavan Biggio,0.202,49,6,24,37,0.679,"2022,09,25"
Danny Jansen,0.255,48,13,37,21,0.833,"2022,09,25"
Whit Merrifield,0.23,20,4,11,7,0.69,"2022,09,25"
Bradley Zimmer,0.103,8,2,3,5,0.444,"2022,09,25"
Jackie Bradley Jr.,0.177,11,1,9,5,0.529,"2022,09,25"
Gabriel Moreno,0.279,17,0,4,3,0.608,"2022,09,25"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,25"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,25"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,25"
