Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.295,114,13,52,52,0.82,"2022,09,05"
Vladimir Guerrero Jr.,0.28,144,27,80,49,0.84,"2022,09,05"
Santiago Espinal,0.266,109,7,46,32,0.696,"2022,09,05"
Bo Bichette,0.266,141,18,71,34,0.741,"2022,09,05"
Matt Chapman,0.236,104,24,64,51,0.78,"2022,09,05"
Lourdes Gurriel Jr.,0.288,128,5,51,30,0.735,"2022,09,05"
George Springer,0.265,106,19,57,43,0.807,"2022,09,05"
Teoscar Hernandez,0.264,106,19,63,29,0.788,"2022,09,05"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,05"
Raimel Tapia,0.259,83,5,39,11,0.647,"2022,09,05"
Cavan Biggio,0.221,44,5,21,32,0.731,"2022,09,05"
Danny Jansen,0.215,31,11,30,14,0.749,"2022,09,05"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,05"
Whit Merrifield,0.214,12,1,3,5,0.547,"2022,09,05"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,05"
Jackie Bradley Jr.,0.129,4,0,4,4,0.422,"2022,09,05"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,05"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,05"
Vinny Capra,0.2,1,0,0,2,0.629,"2022,09,05"
