Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.291,134,14,63,62,0.8,"2022,10,01"
Vladimir Guerrero Jr.,0.274,171,31,95,55,0.814,"2022,10,01"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,10,01"
Bo Bichette,0.287,183,24,93,41,0.801,"2022,10,01"
Matt Chapman,0.23,121,27,75,64,0.759,"2022,10,01"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,10,01"
George Springer,0.263,132,25,75,54,0.813,"2022,10,01"
Teoscar Hernandez,0.257,124,22,72,33,0.774,"2022,10,01"
Zack Collins,0.194,14,4,10,6,0.682,"2022,10,01"
Raimel Tapia,0.263,103,7,51,14,0.67,"2022,10,01"
Cavan Biggio,0.203,50,6,24,37,0.676,"2022,10,01"
Danny Jansen,0.255,51,14,38,25,0.841,"2022,10,01"
Whit Merrifield,0.255,26,4,12,8,0.718,"2022,10,01"
Bradley Zimmer,0.101,8,2,3,5,0.439,"2022,10,01"
Jackie Bradley Jr.,0.175,11,1,9,6,0.532,"2022,10,01"
Gabriel Moreno,0.279,17,0,4,3,0.608,"2022,10,01"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,10,01"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,10,01"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,10,01"
