Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.295,130,13,61,59,0.806,"2022,09,24"
Vladimir Guerrero Jr.,0.277,166,30,89,54,0.826,"2022,09,24"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,09,24"
Bo Bichette,0.286,175,24,91,40,0.806,"2022,09,24"
Matt Chapman,0.236,119,27,75,62,0.78,"2022,09,24"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,24"
George Springer,0.262,125,21,68,52,0.796,"2022,09,24"
Teoscar Hernandez,0.259,119,21,68,33,0.78,"2022,09,24"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,24"
Raimel Tapia,0.264,98,6,50,14,0.668,"2022,09,24"
Cavan Biggio,0.202,49,6,24,37,0.679,"2022,09,24"
Danny Jansen,0.255,48,13,37,20,0.83,"2022,09,24"
Whit Merrifield,0.214,18,3,8,7,0.62,"2022,09,24"
Bradley Zimmer,0.103,8,2,3,5,0.435,"2022,09,24"
Gabriel Moreno,0.279,17,0,4,3,0.608,"2022,09,24"
Jackie Bradley Jr.,0.183,11,1,9,4,0.534,"2022,09,24"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,24"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,24"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,24"
