Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.295,123,13,57,55,0.813,"2022,09,13"
Vladimir Guerrero Jr.,0.279,154,27,82,51,0.828,"2022,09,13"
Santiago Espinal,0.265,114,7,49,35,0.692,"2022,09,13"
Bo Bichette,0.281,159,24,87,36,0.804,"2022,09,13"
Matt Chapman,0.236,111,24,66,55,0.772,"2022,09,13"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,13"
George Springer,0.26,113,19,58,49,0.79,"2022,09,13"
Teoscar Hernandez,0.264,111,20,65,30,0.793,"2022,09,13"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,13"
Raimel Tapia,0.263,89,6,42,13,0.661,"2022,09,13"
Cavan Biggio,0.219,47,6,23,35,0.733,"2022,09,13"
Danny Jansen,0.239,38,12,33,15,0.787,"2022,09,13"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,13"
Whit Merrifield,0.182,12,1,3,5,0.467,"2022,09,13"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,13"
Jackie Bradley Jr.,0.17,8,0,6,4,0.491,"2022,09,13"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,13"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,13"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,13"
