Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.291,133,14,62,61,0.801,"2022,09,30"
Vladimir Guerrero Jr.,0.275,170,30,93,55,0.813,"2022,09,30"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,09,30"
Bo Bichette,0.285,181,24,92,40,0.799,"2022,09,30"
Matt Chapman,0.231,121,27,75,64,0.764,"2022,09,30"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,30"
George Springer,0.262,130,24,72,54,0.806,"2022,09,30"
Teoscar Hernandez,0.257,123,22,72,33,0.777,"2022,09,30"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,30"
Raimel Tapia,0.26,101,6,50,14,0.659,"2022,09,30"
Cavan Biggio,0.203,50,6,24,37,0.676,"2022,09,30"
Danny Jansen,0.254,50,14,38,24,0.84,"2022,09,30"
Whit Merrifield,0.232,23,4,11,8,0.674,"2022,09,30"
Bradley Zimmer,0.103,8,2,3,5,0.444,"2022,09,30"
Jackie Bradley Jr.,0.175,11,1,9,6,0.532,"2022,09,30"
Gabriel Moreno,0.279,17,0,4,3,0.608,"2022,09,30"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,30"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,30"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,30"
