Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.295,125,13,59,56,0.811,"2022,09,18"
Vladimir Guerrero Jr.,0.279,161,28,84,51,0.824,"2022,09,18"
Santiago Espinal,0.269,119,7,50,36,0.698,"2022,09,18"
Bo Bichette,0.283,167,24,88,36,0.802,"2022,09,18"
Matt Chapman,0.239,117,26,72,57,0.782,"2022,09,18"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,18"
George Springer,0.26,119,21,65,50,0.794,"2022,09,18"
Teoscar Hernandez,0.257,113,20,66,31,0.772,"2022,09,18"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,18"
Raimel Tapia,0.259,92,6,46,14,0.653,"2022,09,18"
Cavan Biggio,0.208,48,6,23,36,0.698,"2022,09,18"
Danny Jansen,0.249,43,12,33,17,0.805,"2022,09,18"
Bradley Zimmer,0.104,8,2,3,5,0.441,"2022,09,18"
Whit Merrifield,0.2,14,1,5,6,0.52,"2022,09,18"
Gabriel Moreno,0.279,17,0,4,2,0.597,"2022,09,18"
Jackie Bradley Jr.,0.172,10,0,6,4,0.467,"2022,09,18"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,18"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,18"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,18"
