Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.286,134,14,63,63,0.79,"2022,10,04"
Vladimir Guerrero Jr.,0.273,173,32,97,57,0.816,"2022,10,04"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,10,04"
Bo Bichette,0.289,188,24,93,41,0.802,"2022,10,04"
Matt Chapman,0.229,123,27,76,67,0.758,"2022,10,04"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,10,04"
George Springer,0.267,137,25,76,54,0.814,"2022,10,04"
Teoscar Hernandez,0.269,133,25,77,33,0.812,"2022,10,04"
Zack Collins,0.194,14,4,10,6,0.682,"2022,10,04"
Raimel Tapia,0.266,107,7,52,16,0.675,"2022,10,04"
Cavan Biggio,0.2,50,6,24,37,0.666,"2022,10,04"
Danny Jansen,0.264,55,15,43,25,0.868,"2022,10,04"
Whit Merrifield,0.289,33,5,16,8,0.798,"2022,10,04"
Bradley Zimmer,0.099,8,2,3,5,0.429,"2022,10,04"
Jackie Bradley Jr.,0.167,11,1,9,6,0.509,"2022,10,04"
Gabriel Moreno,0.29,18,0,4,3,0.63,"2022,10,04"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,10,04"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,10,04"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,10,04"
Otto Lopez,1.0,1,0,0,0,2.0,"2022,10,04"
