Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.289,134,14,63,63,0.796,"2022,10,03"
Vladimir Guerrero Jr.,0.273,172,31,96,56,0.811,"2022,10,03"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,10,03"
Bo Bichette,0.289,187,24,93,41,0.803,"2022,10,03"
Matt Chapman,0.229,122,27,75,66,0.758,"2022,10,03"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,10,03"
George Springer,0.269,137,25,76,54,0.82,"2022,10,03"
Teoscar Hernandez,0.267,131,25,77,33,0.81,"2022,10,03"
Zack Collins,0.194,14,4,10,6,0.682,"2022,10,03"
Raimel Tapia,0.263,105,7,52,15,0.668,"2022,10,03"
Cavan Biggio,0.202,50,6,24,37,0.674,"2022,10,03"
Danny Jansen,0.264,55,15,43,25,0.868,"2022,10,03"
Whit Merrifield,0.27,30,5,14,8,0.767,"2022,10,03"
Bradley Zimmer,0.099,8,2,3,5,0.429,"2022,10,03"
Jackie Bradley Jr.,0.167,11,1,9,6,0.509,"2022,10,03"
Gabriel Moreno,0.29,18,0,4,3,0.63,"2022,10,03"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,10,03"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,10,03"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,10,03"
Otto Lopez,1.0,1,0,0,0,2.0,"2022,10,03"
