Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.292,133,14,62,61,0.803,"2022,09,28"
Vladimir Guerrero Jr.,0.276,170,30,92,55,0.817,"2022,09,28"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,09,28"
Bo Bichette,0.284,179,24,91,40,0.796,"2022,09,28"
Matt Chapman,0.233,121,27,75,64,0.77,"2022,09,28"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,28"
George Springer,0.263,130,24,72,53,0.81,"2022,09,28"
Teoscar Hernandez,0.259,123,22,72,33,0.783,"2022,09,28"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,28"
Raimel Tapia,0.263,101,6,50,14,0.666,"2022,09,28"
Cavan Biggio,0.203,50,6,24,37,0.676,"2022,09,28"
Danny Jansen,0.253,49,13,37,23,0.825,"2022,09,28"
Whit Merrifield,0.227,22,4,11,7,0.66,"2022,09,28"
Bradley Zimmer,0.103,8,2,3,5,0.444,"2022,09,28"
Jackie Bradley Jr.,0.177,11,1,9,5,0.529,"2022,09,28"
Gabriel Moreno,0.279,17,0,4,3,0.608,"2022,09,28"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,28"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,28"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,28"
