Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.293,112,13,51,52,0.82,"2022,09,04"
Vladimir Guerrero Jr.,0.282,144,27,80,49,0.848,"2022,09,04"
Santiago Espinal,0.266,109,7,46,32,0.696,"2022,09,04"
Bo Bichette,0.265,140,18,71,33,0.74,"2022,09,04"
Matt Chapman,0.237,103,24,64,51,0.784,"2022,09,04"
Lourdes Gurriel Jr.,0.29,128,5,51,29,0.738,"2022,09,04"
George Springer,0.265,106,19,57,43,0.807,"2022,09,04"
Teoscar Hernandez,0.263,104,19,62,29,0.788,"2022,09,04"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,04"
Raimel Tapia,0.259,83,5,39,11,0.647,"2022,09,04"
Cavan Biggio,0.218,43,4,20,31,0.708,"2022,09,04"
Danny Jansen,0.213,30,11,30,13,0.747,"2022,09,04"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,04"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,04"
Whit Merrifield,0.208,11,1,2,5,0.54,"2022,09,04"
Jackie Bradley Jr.,0.129,4,0,4,3,0.399,"2022,09,04"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,04"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,04"
Vinny Capra,0.2,1,0,0,2,0.629,"2022,09,04"
