Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.298,122,13,57,54,0.82,"2022,09,11"
Vladimir Guerrero Jr.,0.276,150,27,82,51,0.824,"2022,09,11"
Santiago Espinal,0.268,114,7,49,35,0.7,"2022,09,11"
Bo Bichette,0.279,156,23,84,36,0.797,"2022,09,11"
Matt Chapman,0.235,109,24,66,55,0.775,"2022,09,11"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,11"
George Springer,0.264,113,19,58,46,0.797,"2022,09,11"
Teoscar Hernandez,0.263,109,20,64,29,0.79,"2022,09,11"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,11"
Raimel Tapia,0.262,88,6,42,13,0.661,"2022,09,11"
Cavan Biggio,0.222,47,6,23,34,0.74,"2022,09,11"
Danny Jansen,0.244,38,12,33,15,0.802,"2022,09,11"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,11"
Whit Merrifield,0.188,12,1,3,5,0.481,"2022,09,11"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,11"
Jackie Bradley Jr.,0.186,8,0,6,4,0.534,"2022,09,11"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,11"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,11"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,11"
