Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.293,132,14,62,59,0.806,"2022,09,26"
Vladimir Guerrero Jr.,0.275,167,30,90,55,0.819,"2022,09,26"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,09,26"
Bo Bichette,0.283,176,24,91,40,0.798,"2022,09,26"
Matt Chapman,0.235,120,27,75,64,0.778,"2022,09,26"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,26"
George Springer,0.264,128,23,71,53,0.81,"2022,09,26"
Teoscar Hernandez,0.261,122,22,70,33,0.788,"2022,09,26"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,26"
Raimel Tapia,0.265,100,6,50,14,0.673,"2022,09,26"
Cavan Biggio,0.202,49,6,24,37,0.679,"2022,09,26"
Danny Jansen,0.251,48,13,37,22,0.824,"2022,09,26"
Whit Merrifield,0.22,20,4,11,7,0.66,"2022,09,26"
Bradley Zimmer,0.103,8,2,3,5,0.444,"2022,09,26"
Jackie Bradley Jr.,0.177,11,1,9,5,0.529,"2022,09,26"
Gabriel Moreno,0.279,17,0,4,3,0.608,"2022,09,26"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,26"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,26"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,26"
