Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.295,125,13,59,56,0.811,"2022,09,19"
Vladimir Guerrero Jr.,0.281,163,29,85,53,0.835,"2022,09,19"
Santiago Espinal,0.267,119,7,50,36,0.692,"2022,09,19"
Bo Bichette,0.283,168,24,89,38,0.803,"2022,09,19"
Matt Chapman,0.237,117,26,72,57,0.776,"2022,09,19"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,19"
George Springer,0.26,120,21,66,50,0.795,"2022,09,19"
Teoscar Hernandez,0.255,113,20,66,31,0.765,"2022,09,19"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,19"
Raimel Tapia,0.259,93,6,46,14,0.651,"2022,09,19"
Cavan Biggio,0.208,48,6,23,37,0.701,"2022,09,19"
Danny Jansen,0.251,44,13,34,19,0.831,"2022,09,19"
Bradley Zimmer,0.104,8,2,3,5,0.441,"2022,09,19"
Whit Merrifield,0.192,14,1,5,6,0.5,"2022,09,19"
Gabriel Moreno,0.279,17,0,4,2,0.597,"2022,09,19"
Jackie Bradley Jr.,0.172,10,0,6,4,0.467,"2022,09,19"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,19"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,19"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,19"
