Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.298,118,13,54,53,0.825,"2022,09,07"
Vladimir Guerrero Jr.,0.276,146,27,81,50,0.827,"2022,09,07"
Santiago Espinal,0.263,109,7,46,33,0.689,"2022,09,07"
Bo Bichette,0.277,151,22,80,34,0.781,"2022,09,07"
Matt Chapman,0.236,107,24,66,51,0.774,"2022,09,07"
Lourdes Gurriel Jr.,0.292,132,5,51,31,0.745,"2022,09,07"
George Springer,0.268,111,19,58,44,0.808,"2022,09,07"
Teoscar Hernandez,0.263,109,20,64,29,0.79,"2022,09,07"
Zack Collins (DFA),0.194,14,4,10,6,0.682,"2022,09,07"
Raimel Tapia,0.258,84,5,39,11,0.645,"2022,09,07"
Cavan Biggio,0.222,46,6,23,33,0.74,"2022,09,07"
Danny Jansen,0.218,32,11,30,15,0.752,"2022,09,07"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,07"
Whit Merrifield,0.197,12,1,3,5,0.503,"2022,09,07"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,07"
Jackie Bradley Jr.,0.194,7,0,6,4,0.581,"2022,09,07"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,07"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,07"
Vinny Capra,0.2,1,0,0,2,0.629,"2022,09,07"
