Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.289,134,14,63,63,0.796,"2022,10,02"
Vladimir Guerrero Jr.,0.274,172,31,96,55,0.814,"2022,10,02"
Santiago Espinal (10-day IL),0.267,120,7,51,36,0.692,"2022,10,02"
Bo Bichette,0.291,187,24,93,41,0.808,"2022,10,02"
Matt Chapman,0.23,122,27,75,65,0.758,"2022,10,02"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,10,02"
George Springer,0.267,135,25,75,54,0.819,"2022,10,02"
Teoscar Hernandez,0.263,128,23,74,33,0.793,"2022,10,02"
Zack Collins,0.194,14,4,10,6,0.682,"2022,10,02"
Raimel Tapia,0.265,105,7,52,15,0.675,"2022,10,02"
Cavan Biggio,0.202,50,6,24,37,0.674,"2022,10,02"
Danny Jansen,0.265,54,15,43,25,0.871,"2022,10,02"
Whit Merrifield,0.252,27,4,12,8,0.704,"2022,10,02"
Bradley Zimmer,0.099,8,2,3,5,0.429,"2022,10,02"
Jackie Bradley Jr.,0.175,11,1,9,6,0.532,"2022,10,02"
Gabriel Moreno,0.29,18,0,4,3,0.63,"2022,10,02"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,10,02"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,10,02"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,10,02"
Otto Lopez,1.0,1,0,0,0,2.0,"2022,10,02"
