Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.295,125,13,59,56,0.811,"2022,09,14"
Vladimir Guerrero Jr.,0.278,156,27,82,51,0.824,"2022,09,14"
Santiago Espinal,0.263,114,7,49,36,0.689,"2022,09,14"
Bo Bichette,0.282,162,24,87,36,0.803,"2022,09,14"
Matt Chapman,0.236,112,24,68,56,0.77,"2022,09,14"
Lourdes Gurriel Jr. (10-day IL),0.291,132,5,52,31,0.743,"2022,09,14"
George Springer,0.26,115,20,60,49,0.792,"2022,09,14"
Teoscar Hernandez,0.262,112,20,66,30,0.785,"2022,09,14"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,14"
Raimel Tapia,0.262,90,6,42,13,0.659,"2022,09,14"
Cavan Biggio,0.216,47,6,23,36,0.726,"2022,09,14"
Danny Jansen,0.239,39,12,33,16,0.784,"2022,09,14"
Bradley Zimmer,0.104,8,2,3,5,0.441,"2022,09,14"
Whit Merrifield,0.203,14,1,5,5,0.518,"2022,09,14"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,14"
Jackie Bradley Jr.,0.184,9,0,6,4,0.511,"2022,09,14"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,14"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,14"
Vinny Capra (7-day IL),0.2,1,0,0,2,0.629,"2022,09,14"
